lemma,pos,freq
CWZ,PROPN,1
prikken,VERB,110
blindedarmontsteking,NOUN,5
test,VERB,7
behalve,SCONJ,834
hand.,NOUN,162
opgelucht,VERB,22
molen,NOUN,284
zaak,NOUN,95
dragen,VERB,627
wieak,NOUN,10
malen,VERB,15
steen,NOUN,660
verkopen,VERB,568
regenden,VERB,2
Eerland,PROPN,1
regen,NOUN,466
doolhof,NOUN,122
allebei,PRON,2775
opsluiten,VERB,564
leerzaam,ADJ,696
zaterdag,PROPN,2312
Anouk,PROPN,175
opa,NOUN,3048
oma,NOUN,3980
Malkenschoten,PROPN,1
verdediger,NOUN,161
pauze,NOUN,949
wisselen,VERB,114
keepen,VERB,59
raak,ADJ,51
penalty,NOUN,202
nemen,VERB,2357
gelijk,ADJ,2365
droomhuis,NOUN,55
voldoen,VERB,28
binnenkomen,VERB,148
rood,ADJ,1248
geel,ADJ,603
tapijt,NOUN,13
goudkleurig,ADJ,5
kroonluchter,NOUN,7
doorloop,VERB,1
woonkamer,NOUN,186
plasma-tv,NOUN,5
al,PRON,748
PS,PROPN,246
Wii,NOUN,178
wii,NUM,7
GameCube,SYM,1
slaapkamer,NOUN,232
springkasteel,NOUN,1
lift,NOUN,151
tien,ADJ,30
verdieping,NOUN,215
relaxkamer,NOUN,4
sauna,NOUN,127
bubbel,NOUN,34
onnen,VERB,1
keuken,NOUN,412
keukenapparatuur,NOUN,2
tweeling,NOUN,159
zus,NOUN,4371
spelle,NOUN,1218
memorie,NOUN,11
Snap,AUX,23
spellet,NOUN,3360
Barbie,NOUN,83
horen,INTJ,189
slot,NOUN,614
Grendel,NOUN,4
directeur,NOUN,293
mogelijk,ADJ,597
straks,ADV,591
jungle,NOUN,191
schieten,VERB,1430
verdovingspijlen,ADV,1
pakken,NOUN,7
Brengen,VERB,6
truc,NOUN,1311
tegenstribbelen,VERB,4
pats,NOUN,32
slag,NOUN,176
ongehoorzaam,ADJ,2
Pats,PROPN,8
hulpeloos,ADJ,4
weggehalen,VERB,103
missen,VERB,608
stop,VERB,24
ontvoeren,VERB,260
normale/andere,ADJ,1
